Mr.	Mister
MAC	management appeals commitee
JCKC	
AON	
SKr1.5	
HRH	
NYSE	
RBS	
CIM	computer-integrated manufacturing
EWDB	
Lt.	limited
I.B.M.	International Business Machines
SS	
FAA	Federal Aviation Administration
BT	
CFTC	Commodity Futures Trading Commission
F16s	
5th	fifth
B	
ARA	
M.B.A.	Master of Business Administration
U.	
A-2	
Capt.	Captain
W.Va	West Virginia
BMP	bone morphogenetic proteins
SBA	
MTV	Music Television
X.	
340B	
INC.	Incorporated
Inc	Incorporated
La.	Los Angeles
Y.	
Maj.	major
'T-	
SIA	
F.S.B.	federal savings bank
EGA	enhanced graphics adapter
KIM	
OPEC	Organization of the Petroleum Exporting Countries
WTI	
ISI	Inter-Services Intelligence
EDA	
ADS	
SH	
J.R.	
MIT	Massachusetts Institute of Technology
LA	Los Angeles
'40s	forties
L.P.	limited partnership
D&B	
CNA	
L.P	limited partnership
TRC	
18th	eighteenth
RD	
MC	
PVC	polyvinyl chloride
Ala.	Alabama
FT	
LJN	
A.D.L.	
C-S	
U.S.-U.S.S.R.	
7A	
KTXL	
WAVE	
Chao	
J.M.	
v.	
11th	eleventh
CDA	
B\/T	
UPS	
BBB	
'70s	seventies
Ba3	
KLM	
A.C.	
Minn.	Minnesota
Ky	Kentucky
DWG	
NH	
MBA	Master of Business Administration
CDC	
XL	
3M	
DJ	
Sr	senior
MMS	
M.D	
AGS	
